Country,Network,MCC,MNC
United States,Verizon Wireless,310,0
United States,Verizon Wireless,310,1
United States,Union Wireless,310,2
United States,AT&T Mobility,310,3
United States,AT&T Mobility,310,4
United States,Consolidated Telcom,310,6
United States,AT&T Mobility,310,7
United States,Corr Wireless (Merged Q1 2010),310,8
United States,Cricket Communications (Leap Wireless),310,9
United States,Plateau Wireless,310,10
United States,Sprint (SoftBank),310,12
United States,AT&T Mobility,310,15
United States,T-Mobile (Deutsche Telekom),310,16
United States,T-Mobile (Deutsche Telekom),310,17
United States,West Central Wireless,310,18
United States,Alaska Communications,310,19
United States,T-Mobile (Deutsche Telekom),310,26
United States,Big Sky Mobile (iSmart Mobile),310,30
United States,T-Mobile,310,31
United States,WestLink Communications (Pioneer Communi,310,34
United States,AT&T Mobility,310,38
United States,Cellular One (TX-11),310,39
United States,AT&T Mobility,310,41
United States,Cincinnati Bell Wireless,310,42
United States,Alaska Communications,310,43
United States,AT&T Mobility,310,44
United States,Viaero Wireless,310,45
United States,US Cellular (TDS),310,46
United States,T-Mobile (Deutsche Telekom),310,49
United States,Alltel Wireless (ATN),310,50
United States,Cellcom (Nsight),310,51
United States,VeriSign (Transactions Network Services),310,52
United States,T-Mobile (Deutsche Telekom),310,53
United States,Oklahoma Western Telephone Company,310,54
United States,AT&T Mobility,310,56
United States,AT&T Mobility,310,57
United States,T-Mobile (Deutsche Telekom),310,58
United States,Alltel Wireless (ATN),310,59
United States,Epic Touch,310,61
United States,Cellcom (Nsight),310,62
United States,AmeriLink PCS,310,63
United States,AirFire Mobile (Airadigm Communications),310,64
United States,Jasper,310,65
United States,T-Mobile (Deutsche Telekom),310,66
United States,AT&T Mobility,310,67
United States,AT&T Mobility,310,68
United States,Immix Wireless,310,69
United States,U.S. Cellular,310,73
United States,Convey,310,74
United States,PTCI (Panhandle Telephone Cooperative),310,76
United States,T-Mobile (Deutsche Telekom),310,77
United States,Airlink PCS,310,78
United States,Pinpoint Communications,310,79
United States,T-Mobile (Deutsche Telekom),310,80
United States,Caprock,310,83
United States,telna Mobile,310,84
United States,Aeris,310,85
United States,Pace (Kaplan Telephone Company),310,87
United States,DTC Wireless,310,88
United States,Verizon Wireless,310,89
United States,Mid-Rivers Wireless,310,90
United States,Cellcom (Nsight),310,91
United States,Iris Wireless LLC,310,94
United States,AT&T Mobility,310,95
United States,Plateau Wireless,310,96
United States,AT&T Mobility,310,98
United States,AT&T Mobility,310,99
