Country,Network,MCC,MNC
Abkhazia,Aquafon,289,67
Abkhazia,A-Mobile,289,88
Afghanistan,Afghan Wireless (TSI),412,1
Afghanistan,Roshan (TDCA),412,20
Afghanistan,MTN,412,40
Afghanistan,Etisalat,412,50
Afghanistan,Wasel Telecom,412,55
Afghanistan,Afghan Telecom,412,88
Albania,Telekom.al,276,1
Albania,Vodafone,276,2
Albania,Eagle Mobile (ALBtelecom),276,3
Albania,Plus,276,4
Algeria,Mobilis (Algerie Telecom),603,1
Algeria,Djezzy,603,2
Algeria,Ooredoo (Wataniya),603,3
American Samoa,BlueSky Communications,544,11
Andorra,SOM (Andorra Telecom),213,3
Angola,Unitel,631,2
Angola,Movicel,631,4
Anguilla,Weblinks,365,1
Anguilla,FLOW (Cable & Wireless),365,84
Antigua and Barbuda,Apua,344,3
Antigua and Barbuda,Digicell,344,50
Antigua and Barbuda,FLOW (Cable & Wireless),344,92
Argentina,Movistar (Telefónica),722,1
Argentina,Nextel (NII),722,2
Argentina,Movistar (Telefónica),722,7
Argentina,Claro (AMX Argentina),722,31
Argentina,Claro (AMX Argentina),722,33
Argentina,Personal,722,34
Armenia,Beeline (ArmenTel),283,1
Armenia,Karabakh Telecom,283,4
Armenia,VivaCell (MTS),283,5
Armenia,Ucom LLC,283,10
Aruba,SETAR,363,1
Aruba,Digicel,363,2
Australia,Telstra,505,1
Australia,Optus (SingTel),505,2
Australia,Vodafone (Vodafone Hutchison),505,3
Australia,Lycamobile (MVNO),505,19
Austria,A1.net (A1 Telekom Austria),232,1
Austria,T-Mobile (Deutsche Telekom),232,3
Austria,3 (Hutchison),232,5
Austria,tele.ring (MVNO),232,7
Austria,Lycamobile (MVNO),232,8
Austria,3 (Hutchison),232,10
Austria,bob (A1 Telekom Austria) (MVNO),232,11
Austria,yesss! (A1 Telekom Austria) (MVNO),232,12
Austria,UPC Austria (MVNO),232,13
Austria,Vectone Mobile (MVNO),232,15
Austria,MASS Response Service GmbH,232,17
Austria,Smartspace GmbH (MVNO),232,18
Austria,Tele2 Telecommunication,232,19
Azerbaijan,Azercell (Fintur),400,1
Azerbaijan,Bakcell,400,2
Azerbaijan,CATEL,400,3
Azerbaijan,Nar Mobile (Azerfon),400,4
Azerbaijan,Nakhtel LLC,400,6
Bahamas,BTC (Cable & Wireless),364,39
Bahamas,Aliv,364,49
Bahrain,Batelco,426,1
Bahrain,Zain,426,2
Bahrain,VIVA Bahrain,426,4
Bangladesh,Grameenphone,470,1
Bangladesh,Robi (Axiata),470,2
Bangladesh,Banglalink,470,3
Bangladesh,TeleTalk,470,4
Bangladesh,Airtel (Bharti Airtel),470,7
Barbados,FLOW (Cable & Wireless),342,60
Barbados,Digicel,342,75
Belarus,Velcom (Telekom Austria),257,1
Belarus,MTS,257,2
Belarus,life:),257,4
Belgium,Proximus (Belgacom),206,1
Belgium,Telenet (MVNO),206,5
Belgium,Lycamobile (MVNO),206,6
Belgium,VOO,206,8
Belgium,Orange,206,10
Belgium,BASE (KPN),206,20
Belgium,Mobile Vikings (MVNO),206,30
Belize,DigiCell (Belize Telemedia),702,67
Belize,Smart (Speednet),702,69
Belize,Smart (Speednet),702,99
Benin,Libercom (Benin Telecoms),616,1
Benin,Moov (Telecel Benin),616,2
Benin,MTN,616,3
Benin,Bell Benin Communications,616,4
Benin,Glo Mobile (Globacom),616,5
Bermuda,CellOne,350,0
Bermuda,Digicel,350,1
Bermuda,Mobility,350,2
Bhutan,B-Mobile (Bhutan Telecom),402,11
Bhutan,TashiCell,402,77
Bolivia,Viva,736,1
Bolivia,Entel,736,2
Bolivia,Tigo,736,3
Bosnia and Herzegovina,HT Eronet (HT Mostar),218,3
Bosnia and Herzegovina,m:tel (Telekom Srpske),218,5
Bosnia and Herzegovina,BH Telecom,218,90
Botswana,Mascom,652,1
Botswana,Orange,652,2
Botswana,BTC Mobile,652,4
Brazil,Nextel,724,0
Brazil,TIM (Telecom Italia),724,2
Brazil,TIM (Telecom Italia),724,3
Brazil,TIM (Telecom Italia),724,4
Brazil,Claro (América Móvil),724,5
Brazil,Vivo (Telefónica),724,6
Brazil,Vivo (Telefónica),724,10
Brazil,Vivo (Telefónica),724,11
Brazil,Sercomtel,724,15
Brazil,Oi,724,16
Brazil,Datora (MVNO),724,18
Brazil,Vivo (Telefónica),724,19
Brazil,Vivo (Telefónica),724,23
Brazil,Oi,724,31
Brazil,Algar Telecom,724,32
Brazil,Algar Telecom,724,33
Brazil,Algar Telecom,724,34
Brazil,Nextel (NII),724,39
Brazil,Conecta (MVNO),724,54
BritishVirgin Islands,FLOW (Cable & Wireless),348,17
BritishVirgin Islands,Caribbean Cellular Telephone,348,57
BritishVirgin Islands,Digicel,348,77
Brunei,B-Mobile Communications,528,2
Brunei,DSTCom,528,11
Bulgaria,A1,284,1
Bulgaria,Vivacom,284,3
Bulgaria,Telenor,284,5
Bulgaria,T.com,284,13
Burkina Faso,Telmob (Onatel),613,1
Burkina Faso,Orange,613,2
Burkina Faso,Telecel Faso,613,3
Burundi,Econet Wireless,642,1
Burundi,Onatel,642,3
Burundi,Smart Mobile (Lacell),642,7
Burundi,Lumitel (Viettel),642,8
Burundi,econet Leo,642,82
Cambodia,Cellcard,456,1
Cambodia,Smart (Axiata),456,2
Cambodia,Qb (CADCOMMS),456,4
Cambodia,Smart (Axiata),456,5
Cambodia,Smart (Axiata),456,6
Cambodia,MetFone (Viettel),456,8
Cambodia,MetFone (Viettel),456,9
Cambodia,Seatel,456,11
Cambodia,Cootel (Xinwei),456,16
Cambodia,Cellcard (MobiTel),456,18
Cameroon,MTN,624,1
Cameroon,Orange,624,2
Cameroon,Camtel,624,3
Cameroon,Nexttel,624,4
Canada,Telus Mobility,302,22
Canada,ALO Mobile Inc.,302,25
Canada,EastLink (Bragg Communications),302,27
Canada,Airtel Wireless,302,29
Canada,Mobilicity (DAVE Wireless),302,32
Canada,Execulink,302,34
Canada,Telus Mobility,302,36
Canada,Rogers Wireless,302,37
Canada,TBayTel,302,38
Canada,TBayTel,302,39
Canada,WIND Mobile (Orascom),302,49
Canada,Videotron (Quebecor Media),302,50
